"road_id","road_name","vehicles_total","year","month","time"
573104,"اروميه - تبريز (شهيد کلانتري)",58719,2016,3,"2016-03-21"
573154,"تبريز - اروميه (شهيد کلانتري)",66712,2016,3,"2016-03-21"
573104,"اروميه - تبريز (شهيد کلانتري)",122947,2016,4,"2016-04-01"
573154,"تبريز - اروميه (شهيد کلانتري)",128541,2016,4,"2016-04-01"
573104,"اروميه - تبريز (شهيد کلانتري)",123577,2016,5,"2016-05-01"
573154,"تبريز - اروميه (شهيد کلانتري)",133653,2016,5,"2016-05-01"
573104,"اروميه - تبريز (شهيد کلانتري)",106713,2016,6,"2016-06-01"
573154,"تبريز - اروميه (شهيد کلانتري)",114980,2016,6,"2016-06-01"
573104,"اروميه - تبريز (شهيد کلانتري)",154904,2016,7,"2016-07-01"
573154,"تبريز - اروميه (شهيد کلانتري)",186633,2016,7,"2016-07-01"
573104,"اروميه - تبريز (شهيد کلانتري)",147270,2016,8,"2016-08-01"
573154,"تبريز - اروميه (شهيد کلانتري)",177613,2016,8,"2016-08-01"
573104,"اروميه - تبريز (شهيد کلانتري)",154035,2016,9,"2016-09-01"
573154,"تبريز - اروميه (شهيد کلانتري)",171867,2016,9,"2016-09-01"
573104,"اروميه - تبريز (شهيد کلانتري)",118330,2016,10,"2016-10-01"
573154,"تبريز - اروميه (شهيد کلانتري)",124339,2016,10,"2016-10-01"
573104,"اروميه - تبريز (شهيد کلانتري)",92207,2016,11,"2016-11-08"
573154,"تبريز - اروميه (شهيد کلانتري)",89060,2016,11,"2016-11-08"
573104,"اروميه - تبريز (شهيد کلانتري)",110026,2016,12,"2016-12-01"
573154,"تبريز - اروميه (شهيد کلانتري)",107332,2016,12,"2016-12-01"
573104,"اروميه - تبريز (شهيد کلانتري)",110000,2017,1,"2017-01-01"
573154,"تبريز - اروميه (شهيد کلانتري)",111726,2017,1,"2017-01-01"
573104,"اروميه - تبريز (شهيد کلانتري)",87183,2017,2,"2017-02-02"
573154,"تبريز - اروميه (شهيد کلانتري)",92681,2017,2,"2017-02-01"
573104,"اروميه - تبريز (شهيد کلانتري)",141215,2017,3,"2017-03-01"
573154,"تبريز - اروميه (شهيد کلانتري)",143458,2017,3,"2017-03-01"
573104,"اروميه - تبريز (شهيد کلانتري)",125439,2017,4,"2017-04-01"
573154,"تبريز - اروميه (شهيد کلانتري)",124890,2017,4,"2017-04-01"
573104,"اروميه - تبريز (شهيد کلانتري)",126058,2017,5,"2017-05-01"
573154,"تبريز - اروميه (شهيد کلانتري)",127225,2017,5,"2017-05-01"
573104,"اروميه - تبريز (شهيد کلانتري)",123778,2017,6,"2017-06-01"
573154,"تبريز - اروميه (شهيد کلانتري)",126303,2017,6,"2017-06-01"
573104,"اروميه - تبريز (شهيد کلانتري)",166079,2017,7,"2017-07-01"
573154,"تبريز - اروميه (شهيد کلانتري)",172564,2017,7,"2017-07-01"
573104,"اروميه - تبريز (شهيد کلانتري)",163854,2017,8,"2017-08-01"
573154,"تبريز - اروميه (شهيد کلانتري)",167541,2017,8,"2017-08-01"
573104,"اروميه - تبريز (شهيد کلانتري)",177941,2017,9,"2017-09-01"
573154,"تبريز - اروميه (شهيد کلانتري)",176134,2017,9,"2017-09-01"
573104,"اروميه - تبريز (شهيد کلانتري)",144796,2017,10,"2017-10-01"
573154,"تبريز - اروميه (شهيد کلانتري)",144060,2017,10,"2017-10-01"
573104,"اروميه - تبريز (شهيد کلانتري)",132289,2017,11,"2017-11-01"
573154,"تبريز - اروميه (شهيد کلانتري)",58812,2017,11,"2017-11-01"
573104,"اروميه - تبريز (شهيد کلانتري)",131615,2017,12,"2017-12-01"
573154,"تبريز - اروميه (شهيد کلانتري)",73281,2017,12,"2017-12-01"
573104,"اروميه - تبريز (شهيد کلانتري)",110056,2018,1,"2018-01-03"
573154,"تبريز - اروميه (شهيد کلانتري)",112206,2018,1,"2018-01-03"
573104,"اروميه - تبريز (شهيد کلانتري)",114806,2018,2,"2018-02-01"
573154,"تبريز - اروميه (شهيد کلانتري)",120308,2018,2,"2018-02-01"
573104,"اروميه - تبريز (شهيد کلانتري)",168126,2018,3,"2018-03-01"
573154,"تبريز - اروميه (شهيد کلانتري)",176982,2018,3,"2018-03-01"
573104,"اروميه - تبريز (شهيد کلانتري)",146898,2018,4,"2018-04-01"
573154,"تبريز - اروميه (شهيد کلانتري)",152238,2018,4,"2018-04-01"
573104,"اروميه - تبريز (شهيد کلانتري)",149325,2018,5,"2018-05-01"
573154,"تبريز - اروميه (شهيد کلانتري)",158715,2018,5,"2018-05-01"
573104,"اروميه - تبريز (شهيد کلانتري)",144704,2018,6,"2018-06-02"
573154,"تبريز - اروميه (شهيد کلانتري)",151562,2018,6,"2018-06-02"
573104,"اروميه - تبريز (شهيد کلانتري)",178265,2018,7,"2018-07-01"
573154,"تبريز - اروميه (شهيد کلانتري)",188950,2018,7,"2018-07-01"
573104,"اروميه - تبريز (شهيد کلانتري)",186096,2018,8,"2018-08-01"
573154,"تبريز - اروميه (شهيد کلانتري)",195056,2018,8,"2018-08-01"
573104,"اروميه - تبريز (شهيد کلانتري)",180142,2018,9,"2018-09-01"
573154,"تبريز - اروميه (شهيد کلانتري)",187235,2018,9,"2018-09-01"
