DateTime,Price
2016-04,1.58
2016-05,1.55
2016-06,1.55
2016-07,1.45
2016-08,1.52
2016-09,1.58
2016-10,1.57
2016-11,1.49
2016-12,1.48
2017-01,1.43
2017-02,1.44
2017-03,1.42
2017-04,1.48
2017-05,1.45
2017-06,1.42
2017-07,1.48
2017-08,1.51
2017-09,1.49
2017-10,1.46
2017-11,1.45
2017-12,1.48
2018-01,1.55
2018-02,1.49
2018-03,1.5
2018-04,1.51
2018-05,1.38
2018-06,1.36
2018-07,1.29
2018-08,1.11
2018-09,1.17
2018-10,1.27
2018-11,1.19
2018-12,1.13
2019-01,1.18
2019-02,1.22
2019-03,1.27
2019-04,1.2
2019-05,1.17
2019-06,1.19
2019-07,1.26
2019-08,1.17
2019-09,1.23
2019-10,1.21
2019-11,1.21
2019-12,1.2
2020-01,1.17
2020-02,1.12
2020-03,0.82
2020-04,0.74
2020-05,0.88
2020-06,0.92
2020-07,0.92
2020-08,0.91
2020-09,0.86
2020-10,0.82
2020-11,0.9
2020-12,0.97
2021-01,0.99
2021-02,0.99
2021-03,0.85
2021-04,0.87
2021-05,0.91
2021-06,0.9
2021-07,0.92
2021-08,0.94
2021-09,0.89
2021-10,0.89
2021-11,0.82
2021-12,0.9
2022-01,1.04
2022-02,1.22
2022-03,1.35
2022-04,1.37
2022-05,1.53
2022-06,1.49
2022-07,1.25
2022-08,1.11
2022-09,1.05
2022-10,1.12
2022-11,1.08
2022-12,1.0
2023-01,1.13
2023-02,1.1
2023-03,1.14
