"Close","DateTime"
647000,2024-04-06
641000,2024-04-04
634740,2024-04-03
632900,2024-04-02
616580,2024-03-28
613950,2024-03-27
608380,2024-03-26
614030,2024-03-25
618100,2024-03-24
615900,2024-03-23
609460,2024-03-19
603510,2024-03-18
600260,2024-03-17
601080,2024-03-16
595580,2024-03-14
595340,2024-03-13
597090,2024-03-12
599410,2024-03-11
592850,2024-03-10
605340,2024-03-09
609890,2024-03-06
609350,2024-03-04
593390,2024-03-03
593130,2024-03-02
584660,2024-02-29
581090,2024-02-28
586050,2024-02-27
580030,2024-02-25
572670,2024-02-24
572710,2024-02-22
570290,2024-02-21
565060,2024-02-20
570360,2024-02-19
570100,2024-02-18
563020,2024-02-17
560270,2024-02-15
555800,2024-02-14
554690,2024-02-13
551950,2024-02-12
551370,2024-02-11
549020,2024-02-10
556970,2024-02-08
557380,2024-02-07
553880,2024-02-05
551370,2024-02-04
563780,2024-02-03
578040,2024-01-31
582890,2024-01-30
582990,2024-01-29
558630,2024-01-28
563000,2024-01-27
556590,2024-01-24
548920,2024-01-23
540510,2024-01-22
539080,2024-01-21
542230,2024-01-20
540290,2024-01-18
536510,2024-01-17
529040,2024-01-16
524630,2024-01-15
520860,2024-01-14
524680,2024-01-13
516020,2024-01-11
519780,2024-01-10
514840,2024-01-09
509490,2024-01-08
509760,2024-01-07
509740,2024-01-06
514170,2024-01-04
508290,2024-01-03
506430,2024-01-02
505980,2024-01-01
505630,2023-12-31
506160,2023-12-30
503190,2023-12-28
503450,2023-12-27
501040,2023-12-26
500890,2023-12-25
500690,2023-12-24
503010,2023-12-23
500760,2023-12-21
500560,2023-12-19
502380,2023-12-18
504670,2023-12-17
504670,2023-12-16
504670,2023-12-14
504460,2023-12-13
504640,2023-12-12
506170,2023-12-11
505350,2023-12-10
505310,2023-12-09
505170,2023-12-07
504240,2023-12-06
505010,2023-12-05
506510,2023-12-04
505910,2023-12-03
504830,2023-12-02
506950,2023-11-30
507010,2023-11-29
506010,2023-11-27
502510,2023-11-26
504280,2023-11-25
503740,2023-11-23
502190,2023-11-22
501990,2023-11-21
504010,2023-11-20
503040,2023-11-19
506400,2023-11-18
509430,2023-11-16
509070,2023-11-15
511510,2023-11-14
511800,2023-11-13
513370,2023-11-12
513250,2023-11-11
513530,2023-11-09
510520,2023-11-08
512190,2023-11-07
513520,2023-11-06
512360,2023-11-05
511400,2023-11-04
521350,2023-11-02
516860,2023-11-01
516380,2023-10-31
514600,2023-10-30
513390,2023-10-29
521490,2023-10-28
516090,2023-10-26
511860,2023-10-25
507540,2023-10-24
506160,2023-10-23
506380,2023-10-21
502670,2023-10-20
512530,2023-10-18
513360,2023-10-17
509920,2023-10-16
502980,2023-10-15
508520,2023-10-14
509410,2023-10-13
511700,2023-10-12
515530,2023-10-11
517730,2023-10-10
520570,2023-10-09
527530,2023-10-08
524400,2023-10-07
505010,2023-10-06
498970,2023-10-05
499010,2023-10-04
496150,2023-10-03
496240,2023-10-02
496500,2023-10-01
495540,2023-09-30
496060,2023-09-29
495380,2023-09-28
497380,2023-09-27
494480,2023-09-26
495020,2023-09-25
495020,2023-09-24
493580,2023-09-23
493580,2023-09-22
493930,2023-09-21
493930,2023-09-20
491150,2023-09-19
496450,2023-09-18
495330,2023-09-17
496030,2023-09-16
499310,2023-09-13
499310,2023-09-12
497000,2023-09-11
495750,2023-09-10
496650,2023-09-09
497840,2023-09-08
495910,2023-09-07
495910,2023-09-06
496040,2023-09-05
496040,2023-09-04
496400,2023-09-03
496660,2023-09-02
494250,2023-09-01
490200,2023-08-31
490200,2023-08-30
491010,2023-08-29
490760,2023-08-28
490130,2023-08-27
491620,2023-08-26
489160,2023-08-25
491670,2023-08-24
491670,2023-08-23
490230,2023-08-22
492730,2023-08-21
486950,2023-08-20
487920,2023-08-19
488500,2023-08-18
488580,2023-08-17
488580,2023-08-16
489440,2023-08-15
492480,2023-08-14
492960,2023-08-13
491420,2023-08-12
485410,2023-08-11
496730,2023-08-10
496590,2023-08-09
495420,2023-08-08
493500,2023-08-07
496440,2023-08-06
496320,2023-08-05
494700,2023-08-04
500700,2023-08-01
500700,2023-07-31
493660,2023-07-30
487970,2023-07-29
491120,2023-07-28
488990,2023-07-27
488990,2023-07-26
490250,2023-07-25
488370,2023-07-24
486140,2023-07-23
483360,2023-07-22
485810,2023-07-21
486370,2023-07-20
486370,2023-07-19
484700,2023-07-18
488170,2023-07-17
488180,2023-07-16
483700,2023-07-15
488390,2023-07-14
492610,2023-07-13
492610,2023-07-12
492430,2023-07-11
491460,2023-07-10
498290,2023-07-09
499630,2023-07-08
497140,2023-07-07
503130,2023-07-06
503130,2023-07-05
503100,2023-07-04
502840,2023-07-03
502990,2023-07-02
499930,2023-07-01
498320,2023-06-30
492800,2023-06-28
492350,2023-06-27
492920,2023-06-26
497970,2023-06-25
499510,2023-06-24
512880,2023-06-23
497130,2023-06-22
497310,2023-06-21
485880,2023-06-20
489740,2023-06-19
486810,2023-06-18
492280,2023-06-17
493400,2023-06-16
488100,2023-06-15
488020,2023-06-14
488580,2023-06-13
499100,2023-06-12
481970,2023-06-11
470090,2023-06-10
493390,2023-06-09
490840,2023-06-08
492900,2023-06-07
496350,2023-06-06
510060,2023-06-05
511360,2023-06-04
509250,2023-06-03
508560,2023-06-02
510890,2023-06-01
513330,2023-05-31
509580,2023-05-30
513420,2023-05-29
518350,2023-05-28
515170,2023-05-27
519930,2023-05-26
514320,2023-05-25
516190,2023-05-24
515040,2023-05-23
522510,2023-05-22
523310,2023-05-21
518530,2023-05-20
514550,2023-05-19
510980,2023-05-18
512090,2023-05-17
511600,2023-05-16
515020,2023-05-15
521060,2023-05-14
513810,2023-05-13
520850,2023-05-12
530360,2023-05-11
530410,2023-05-10
529510,2023-05-09
531720,2023-05-08
535870,2023-05-07
527520,2023-05-06
533410,2023-05-05
536840,2023-05-04
541800,2023-05-03
540200,2023-05-02
546450,2023-05-01
557350,2023-04-30
549090,2023-04-29
543940,2023-04-28
532830,2023-04-27
535050,2023-04-26
523860,2023-04-25
517320,2023-04-23
517460,2023-04-22
516350,2023-04-21
513880,2023-04-19
517080,2023-04-18
517570,2023-04-17
514550,2023-04-16
512590,2023-04-15
509420,2023-04-14
510070,2023-04-12
510540,2023-04-11
508880,2023-04-10
504600,2023-04-09
503080,2023-04-08
510990,2023-04-07
507060,2023-04-06
507990,2023-04-05
511080,2023-04-04
511080,2023-04-03
518040,2023-04-02
544510,2023-04-01
544570,2023-03-31
549040,2023-03-29
511750,2023-03-28
511900,2023-03-27
510920,2023-03-26
507910,2023-03-25
508390,2023-03-24
481070,2023-03-22
480910,2023-03-18
469090,2023-03-17
465570,2023-03-15
469470,2023-03-14
470800,2023-03-13
452840,2023-03-12
445050,2023-03-11
446410,2023-03-10
497950,2023-03-08
509070,2023-03-07
503480,2023-03-06
511040,2023-03-05
509000,2023-03-04
556450,2023-03-03
556550,2023-03-01
556510,2023-02-28
559340,2023-02-27
584380,2023-02-26
584930,2023-02-25
540400,2023-02-24
522320,2023-02-22
511050,2023-02-21
498910,2023-02-20
499020,2023-02-19
491090,2023-02-18
476710,2023-02-17
476480,2023-02-16
472170,2023-02-14
459070,2023-02-13
456050,2023-02-12
460400,2023-02-11
449540,2023-02-08
445610,2023-02-07
442370,2023-02-06
449400,2023-02-05
447300,2023-02-04
448240,2023-02-03
450100,2023-02-01
447040,2023-01-31
447300,2023-01-30
446050,2023-01-29
448210,2023-01-28
438010,2023-01-27
445560,2023-01-25
437620,2023-01-24
435850,2023-01-23
448320,2023-01-22
449400,2023-01-21
448450,2023-01-20
428320,2023-01-18
431800,2023-01-17
418810,2023-01-16
411170,2023-01-15
409770,2023-01-14
409330,2023-01-13
411620,2023-01-11
411280,2023-01-10
406800,2023-01-08
410890,2023-01-07
413670,2023-01-06
394830,2023-01-05
400620,2023-01-04
397550,2023-01-03
397380,2023-01-02
409530,2023-01-01
411740,2022-12-31
398330,2022-12-30
416150,2022-12-29
434360,2022-12-28
443230,2022-12-27
397210,2022-12-26
414940,2022-12-25
410030,2022-12-24
406130,2022-12-23
390500,2022-12-22
397610,2022-12-21
396330,2022-12-20
391460,2022-12-19
396790,2022-12-18
393270,2022-12-17
395360,2022-12-16
378280,2022-12-15
378280,2022-12-14
383390,2022-12-13
385170,2022-12-12
379560,2022-12-11
372820,2022-12-10
370230,2022-12-09
363960,2022-12-07
362890,2022-12-06
361870,2022-12-05
363150,2022-12-04
363110,2022-12-03
358130,2022-12-02
357950,2022-12-01
358880,2022-11-30
357000,2022-11-29
355050,2022-11-28
360350,2022-11-27
358650,2022-11-26
349900,2022-11-24
354593,2022-11-23
355126,2022-11-22
356580,2022-11-21
357042,2022-11-20
353335,2022-11-19
353071,2022-11-18
347510,2022-11-17
349704,2022-11-16
354669,2022-11-15
355950,2022-11-14
358010,2022-11-13
354420,2022-11-12
349390,2022-11-11
350590,2022-11-10
350590,2022-11-09
354010,2022-11-08
361830,2022-11-07
361970,2022-11-06
362640,2022-11-05
362130,2022-11-04
348640,2022-11-02
346060,2022-11-01
334720,2022-10-31
332450,2022-10-30
329740,2022-10-29
329230,2022-10-28
330520,2022-10-27
330570,2022-10-26
328880,2022-10-25
328700,2022-10-24
327630,2022-10-23
328120,2022-10-22
327690,2022-10-21
326550,2022-10-20
326510,2022-10-19
327940,2022-10-18
328450,2022-10-17
328570,2022-10-16
331210,2022-10-15
328100,2022-10-14
329460,2022-10-13
329540,2022-10-12
326480,2022-10-11
327410,2022-10-10
324910,2022-10-09
