Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
Turkey,Gasoline Prices,1995-12-31T00:00:00,0.56,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,1998-12-31T00:00:00,0.78,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2000-12-31T00:00:00,0.88,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2002-12-31T00:00:00,1.02,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2004-12-31T00:00:00,1.44,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2006-12-31T00:00:00,1.88,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2008-12-31T00:00:00,1.87,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2010-12-31T00:00:00,2.52,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2012-12-31T00:00:00,2.54,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2013-01-31T00:00:00,2.68,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2013-02-28T00:00:00,2.67,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2013-03-31T00:00:00,2.61,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2013-04-30T00:00:00,2.53,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2013-05-31T00:00:00,2.56,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2013-06-30T00:00:00,2.44,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2013-07-31T00:00:00,2.56,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2013-08-31T00:00:00,2.5,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2013-09-30T00:00:00,2.38,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2013-10-31T00:00:00,2.43,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2013-11-30T00:00:00,2.37,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2013-12-31T00:00:00,2.3,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2014-01-31T00:00:00,2.23,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2014-02-28T00:00:00,2.33,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2014-03-31T00:00:00,2.31,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2014-04-30T00:00:00,2.38,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2014-05-31T00:00:00,2.38,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2014-06-30T00:00:00,2.39,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2014-07-31T00:00:00,2.37,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2014-08-31T00:00:00,2.27,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2014-09-30T00:00:00,2.22,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2014-10-31T00:00:00,2.14,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2014-11-30T00:00:00,2.01,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2014-12-31T00:00:00,1.82,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2015-01-31T00:00:00,1.72,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2015-02-28T00:00:00,1.77,Monthly,TurkeyGasPri,2015-03-03T17:23:00
Turkey,Gasoline Prices,2015-03-31T00:00:00,1.6,Monthly,TurkeyGasPri,2015-04-01T12:34:00
Turkey,Gasoline Prices,2015-04-30T00:00:00,1.78,Monthly,TurkeyGasPri,2015-04-30T17:26:00
Turkey,Gasoline Prices,2015-05-31T00:00:00,1.75,Monthly,TurkeyGasPri,2015-05-29T17:32:00
Turkey,Gasoline Prices,2015-06-30T00:00:00,1.77,Monthly,TurkeyGasPri,2015-06-30T15:24:00
Turkey,Gasoline Prices,2015-07-31T00:00:00,1.69,Monthly,TurkeyGasPri,2015-07-31T16:51:00
Turkey,Gasoline Prices,2015-08-31T00:00:00,1.56,Monthly,TurkeyGasPri,2015-09-15T12:03:00
Turkey,Gasoline Prices,2015-09-30T00:00:00,1.49,Monthly,TurkeyGasPri,2015-09-30T17:55:00
Turkey,Gasoline Prices,2015-10-31T00:00:00,1.5,Monthly,TurkeyGasPri,2015-10-30T13:18:00
Turkey,Gasoline Prices,2015-11-30T00:00:00,1.52,Monthly,TurkeyGasPri,2015-11-30T15:15:00
Turkey,Gasoline Prices,2015-12-31T00:00:00,1.47,Monthly,TurkeyGasPri,2016-01-04T14:50:00
Turkey,Gasoline Prices,2016-01-31T00:00:00,1.43,Monthly,TurkeyGasPri,2016-02-05T14:55:00
Turkey,Gasoline Prices,2016-02-29T00:00:00,1.46,Monthly,TurkeyGasPri,2016-03-22T14:50:00
Turkey,Gasoline Prices,2016-03-31T00:00:00,1.54,Monthly,TurkeyGasPri,2016-04-01T12:08:00
Turkey,Gasoline Prices,2016-04-30T00:00:00,1.58,Monthly,TurkeyGasPri,2016-05-03T12:14:00
Turkey,Gasoline Prices,2016-05-31T00:00:00,1.55,Monthly,TurkeyGasPri,2016-05-31T17:13:00
Turkey,Gasoline Prices,2016-06-30T00:00:00,1.55,Monthly,TurkeyGasPri,2016-07-04T14:50:00
