DateTime,Gas_Price_Rial,Tabriz_vehicles,Urmia_vehicles
2016-04,54525.8,128541,122947
2016-05,53707.5,133653,123577
2016-06,54699.5,114980,106713
2016-07,51156.0,186633,154904
2016-08,54066.4,177613,147270
2016-09,56611.4,171867,154035
2016-10,56943.9,124339,118330
2016-11,57052.1,89060,92207
2016-12,56758.0,107332,110026
2017-01,54711.8,111726,110000
2017-02,54489.6,92681,87183
2017-03,53108.0,143458,141215
2017-04,55751.6,124890,125439
2017-05,54143.0,127225,126058
2017-06,53803.8,126303,123778
2017-07,56521.2,172564,166079
2017-08,58497.4,167541,163854
2017-09,58273.9,176134,177941
2017-10,59246.8,144060,144796
2017-11,60015.5,58812,132289
2017-12,63462.4,73281,131615
2018-01,72028.5,112206,110056
2018-02,66603.0,120308,114806
2018-03,75435.0,176982,168126
2018-04,90071.5,152238,146898
2018-05,89727.6,158715,149325
2018-06,113668.8,151562,144704
2018-07,136714.2,188950,178265
2018-08,124197.9,195056,186096
2018-09,177570.9,187235,180142
2018-10,153670.0,162862,156855
2018-11,135160.2,159500,155631
2018-12,118650.0,144386,140093
2019-01,139830.0,138928,136190
2019-02,161040.0,145184,142288
2019-03,167640.0,137777,179321
2019-04,174084.0,190422,199289
2019-05,160266.6,166621,166295
2019-06,154866.6,209945,210884
2019-07,152195.4,246343,243233
2019-08,133169.4,245791,234187
2019-09,141462.3,197729,201736
2019-10,134939.2,161085,165901
2019-11,155025.2,130084,133444
2019-12,159588.0,133993,140174
2020-01,158347.8,104651,122803
2020-02,173667.2,120959,122366
2020-03,122204.6,87043,95475
2020-04,115440.0,86381,88851
2020-05,155777.6,119609,124584
2020-06,189308.4,96685,122716
2020-07,215068.4,110723,148211
2020-08,221676.0,105339,167886
2020-09,257767.8,126648,157373
2020-10,227107.2,104193,139977
2020-11,236232.0,73754,102475
2020-12,249522.8,75250,97384
2021-01,238441.5,99216,102570
2021-02,251707.5,82319,83639
2021-03,218892.0,104548,116136
2021-04,202179.3,88904,95194
2021-05,221075.4,110564,108253
2021-06,226377.0,91184,134441
2021-07,234498.8,10822,152250
2021-08,254129.0,57840,109372
2021-09,253391.9,59432,128977
2021-10,244785.6,51943,150617
2021-11,239358.0,92043,132799
2021-12,266427.0,132305,135528
2022-01,285584.0,113079,116231
2022-02,316773.0,120911,123248
2022-03,366039.0,173002,173554
2022-04,385764.6,140573,147704
2022-05,482225.4,163354,162308
2022-06,476695.7,169769,174650
2022-07,396287.5,172627,196787
2022-08,331923.3,74008,181099
2022-09,347655.0,86457,151855
2022-10,374886.4,117527,128948
2022-11,387590.4,39787,49561
2022-12,411740.0,162438,226199
2023-01,505155.2,148673,173009
2023-03,620809.8,110913,50995
